Position, Error, Repetition
0.3413696, -0.01086426 , 5.41302 0.3638874 0
0.5306702, -0.0350647 , 5.39765 0.09716427 0
0.4646912, -0.04449463 , 5.403199 0.08077952 0
0.3318176, -0.04348755 , 5.412605 0.08473498 0
0.2135315, -0.03158569 , 5.418601 0.09189357 0
-0.09909058, -0.02285767 , 5.421326 0.1174057 0
-0.1750183, -0.0213623 , 5.41937 0.06037938 0
-0.3052063, -0.0213623 , 5.413344 0.05248384 0
-0.4089661, -0.02258301 , 5.406284 0.0577107 0
-0.6117249, -0.02264404 , 5.386825 0.04184261 0
-0.75354, -0.02264404 , 5.368696 0.03879713 0
-0.8457336, -0.02264404 , 5.354865 0.06394809 0
-1.05957, -0.02264404 , 5.316589 0.04988869 0
-1.221954, -0.02264404 , 5.281596 0.04969554 0
-1.286255, -0.02264404 , 5.266346 0.06901174 0
-1.518677, -0.02264404 , 5.204165 0.0463214 0
-1.656006, -0.02008057 , 5.162332 0.04310679 0
-1.822479, -0.0133667 , 5.106335 0.0426298 0
-1.905762, -0.01101685 , 5.076068 0.04575873 0
-2.166016, -0.0007324219 , 4.971223 0.08208393 0
-2.301483, 0.005249023 , 4.910703 0.07147233 0
-2.434753, -0.00390625 , 4.846136 0.06422136 0
-2.553497, -0.004150391 , 4.785076 0.03534325 0
-2.684937, -0.004180908 , 4.713089 0.0311216 0
-2.833923, -0.004211426 , 4.625684 0.02193495 0
-3.042664, -0.004302979 , 4.492304 0.06413747 0
-3.178253, -0.001708984 , 4.398372 0.05033923 0
-3.294769, -0.001739502 , 4.312567 0.02798172 0
-3.446014, -0.001800537 , 4.193796 0.04641062 0
-3.61615, -0.000579834 , 4.049747 0.0527879 0
-3.66922, -0.000579834 , 4.002245 0.09116152 0
-3.702759, -0.000579834 , 3.970984 0.248396 0
-4.08728, 0.007507324 , 3.571663 0.09617452 0
-4.206818, 0.007507324 , 3.429374 0.07134991 0
-4.374634, 0.007507324 , 3.211789 0.09189353 0
-4.465759, 0.007507324 , 3.083387 0.03879148 0
-4.604492, 0.007507324 , 2.871674 0.04757747 0
-4.762238, 0.007507324 , 2.601293 0.03852336 0
-4.886688, 0.00881958 , 2.359316 0.04514749 0
-4.971375, 0.01138306 , 2.175782 0.1346162 1
-5.061157, 0.01144409 , 1.958354 0.1390915 1
-5.071106, 0.01010132 , 1.932576 0.1349788 1
-4.976471, 0.008789063 , 2.163972 0.1840202 1
-4.835541, 0.00881958 , 2.462469 0.1423223 1
-4.626617, 0.008850098 , 2.835836 0.03477025 1
-4.484802, 0.008850098 , 3.055593 0.04776306 1
-4.34668, 0.01553345 , 3.249909 0.05254879 1
-4.187622, -0.004486084 , 3.452523 0.04926888 1
-4.048462, -0.009857178 , 3.615226 0.04587253 1
-3.890869, -0.009887695 , 3.785263 0.03725351 1
-3.759796, -0.009887695 , 3.916323 0.04584078 1
-3.608795, -0.01657104 , 4.056684 0.04720361 1
-3.478851, -0.02957153 , 4.169059 0.08209442 1
-3.351318, -0.03143311 , 4.273064 0.09001138 1
-3.171143, -0.02746582 , 4.409894 0.04591025 1
-2.969086, -0.02752686 , 4.549888 0.04255806 1
-2.841583, -0.02755737 , 4.631593 0.03001534 1
-2.733551, -0.03417969 , 4.696777 0.06451432 1
